image,similarity_score
12922_output.png,0.8267
12922_output.png,0.7409
12922_output.png,0.752
12922_output.png,0.8971
12922_output.png,0.7386
12922_output.png,0.7357
12922_output.png,0.7388
12922_output.png,0.798
12922_output.png,0.6948
12922_output.png,0.7063
12922_output.png,0.7356
12922_output.png,0.7407
12922_output.png,0.7391
12922_output.png,0.7556
12922_output.png,0.7342
12922_output.png,0.7129
12922_output.png,0.7347
12922_output.png,0.8264
12922_output.png,0.7358
12922_output.png,0.7177
12922_output.png,0.9432
12922_output.png,0.8753
12922_output.png,0.9563
12922_output.png,0.9578
12922_output.png,0.9209
12922_output.png,0.8967
12922_output.png,0.8985
12922_output.png,0.9546
12922_output.png,0.9064
12922_output.png,0.9114
12922_output.png,0.8259
12922_output.png,0.6615
12922_output.png,0.8903
12922_output.png,0.9103
12922_output.png,0.9411
12922_output.png,0.9229
12922_output.png,0.9037
12922_output.png,0.9055
12922_output.png,0.8999
12922_output.png,0.9624
12922_output.png,0.8999
12922_output.png,0.891
12922_output.png,0.8417
12922_output.png,0.704
12922_output.png,0.8954
12922_output.png,0.905
12922_output.png,0.8514
12922_output.png,0.8822
12922_output.png,0.9019
12922_output.png,0.8908
12922_output.png,0.9044
12922_output.png,0.9149
12922_output.png,0.889
12922_output.png,0.7532
12922_output.png,0.6594
12922_output.png,0.9115
12922_output.png,0.968
12922_output.png,0.9066
12922_output.png,0.8764
12922_output.png,0.8892
12922_output.png,0.9694
12922_output.png,0.9038
12922_output.png,0.8822
12922_output.png,0.8042
12922_output.png,0.6394
12922_output.png,0.8898
12922_output.png,0.9181
12922_output.png,0.8458
12922_output.png,0.9043
12922_output.png,0.933
12922_output.png,0.8818
12922_output.png,0.9016
12922_output.png,0.8352
12922_output.png,0.6384
12922_output.png,0.8652
12922_output.png,0.9075
12922_output.png,0.9441
12922_output.png,0.8702
12922_output.png,0.9456
12922_output.png,0.9658
12922_output.png,0.8114
12922_output.png,0.6729
12922_output.png,0.9309
12922_output.png,0.8873
12922_output.png,0.8936
12922_output.png,0.95
12922_output.png,0.9088
12922_output.png,0.7444
12922_output.png,0.7224
12922_output.png,0.9446
12922_output.png,0.8641
12922_output.png,0.9182
12922_output.png,0.9556
12922_output.png,0.831
12922_output.png,0.6962
12922_output.png,0.9067
12922_output.png,0.8871
12922_output.png,0.8533
12922_output.png,0.8078
12922_output.png,0.6613
12922_output.png,0.881
12922_output.png,0.9456
12922_output.png,0.7794
12922_output.png,0.7371
12922_output.png,0.9884
12922_output.png,0.8135
12922_output.png,0.6947
12922_output.png,0.9305
12922_output.png,0.8026
12922_output.png,0.761
12922_output.png,0.7292
iphone_IMG_906161_output.png,0.8868
iphone_IMG_906161_output.png,0.9212
iphone_IMG_906161_output.png,0.8604
iphone_IMG_906161_output.png,0.9364
iphone_IMG_906161_output.png,0.9438
iphone_IMG_906161_output.png,0.9248
iphone_IMG_906161_output.png,0.9073
iphone_IMG_906161_output.png,0.939
iphone_IMG_906161_output.png,0.9434
iphone_IMG_906161_output.png,0.8436
iphone_IMG_906161_output.png,0.9401
iphone_IMG_906161_output.png,0.9166
iphone_IMG_906161_output.png,0.8711
iphone_IMG_906161_output.png,0.8792
iphone_IMG_906161_output.png,0.9555
iphone_IMG_906161_output.png,0.8241
iphone_IMG_906161_output.png,0.8571
iphone_IMG_906161_output.png,0.9018
iphone_IMG_906161_output.png,0.9137
iphone_IMG_906161_output.png,0.942
iphone_IMG_906161_output.png,0.8863
iphone_IMG_906161_output.png,0.8971
iphone_IMG_906161_output.png,0.8292
iphone_IMG_906161_output.png,0.8906
iphone_IMG_906161_output.png,0.9055
iphone_IMG_906161_output.png,0.8951
iphone_IMG_906161_output.png,0.9031
iphone_IMG_906161_output.png,0.8961
iphone_IMG_906161_output.png,0.8852
iphone_IMG_906161_output.png,0.95
iphone_IMG_906161_output.png,0.8657
iphone_IMG_906161_output.png,0.8655
iphone_IMG_906161_output.png,0.8637
iphone_IMG_906161_output.png,0.8753
iphone_IMG_906161_output.png,0.8707
iphone_IMG_906161_output.png,0.8957
